rnum,title
R0000100,"PUBID - YTH ID CODE 1997"
R0536300,"KEY!SEX (SYMBOL) 1997"
R0536401,"KEY!BDATE M/Y (SYMBOL) 1997"
R0536402,"KEY!BDATE M/Y (SYMBOL) 1997"
R1204500,"CV_INCOME_GROSS_YR 1997"
R1204700,"CV_HH_NET_WORTH_P 1997"
R1204800,"CV_HH_NET_WORTH_Y 1997"
R1235800,"CV_SAMPLE_TYPE 1997"
R1236100,"R1 SAMPLING WEIGHT 1997"
R1236101,"R1 SAMPLE WEIGHT CC 1997"
R1482600,"KEY!RACE_ETHNICITY (SYMBOL) 1997"
R2563300,"CV_INCOME_GROSS_YR 1998"
R2563400,"CV_HH_NET_WORTH_Y 1998"
R2600300,"R2 SAMPLING WEIGHT 1998"
R2600301,"R2 SAMPLE WEIGHT CC 1998"
R3884900,"CV_INCOME_GROSS_YR 1999"
R3885000,"CV_HH_NET_WORTH_Y 1999"
R3923700,"R3 SAMPLING WEIGHT 1999"
R3923701,"R3 SAMPLE WEIGHT CC 1999"
R5464100,"CV_INCOME_GROSS_YR 2000"
R5464200,"CV_HH_NET_WORTH_Y 2000"
R5510500,"R4 SAMPLE WEIGHT 2000"
R5510600,"R4 SAMPLE WEIGHT CC 2000"
R7227800,"CV_INCOME_GROSS_YR 2001"
R7227900,"CV_HH_NET_WORTH_Y 2001"
R7274200,"R5 SAMPLE WEIGHT CC 2001"
R9870700,"TRANS CRD GPA 92_93 HSTR"
R9870800,"TRANS CRD GPA 93_94 HSTR"
R9870900,"TRANS CRD GPA 94_95 HSTR"
R9871000,"TRANS CRD GPA 95_96 HSTR"
R9871100,"TRANS CRD GPA 96_97 HSTR"
R9871200,"TRANS CRD GPA 97_98 HSTR"
R9871300,"TRANS CRD GPA 98_99 HSTR"
R9871400,"TRANS CRD GPA 99_00 HSTR"
R9871500,"TRANS CRD GPA 00_01 HSTR"
R9871600,"TRANS CRD GPA 01_02 HSTR"
R9871700,"TRANS CRD GPA 02_03 HSTR"
R9871800,"TRANS CRD GPA 03_04 HSTR"
R9871900,"TRANS CRD GPA OVERALL HSTR"
R9872000,"TRANS CRD GPA ENG HSTR"
R9872100,"TRANS CRD GPA FGN LANG HSTR"
R9872200,"TRANS CRD GPA MATH HSTR"
R9872300,"TRANS CRD GPA SOC SCI HSTR"
R9872400,"TRANS CRD GPA LP SCI HSTR"
R9872500,"TRANS PROB FLAG HSTR"
S1541700,"CV_INCOME_GROSS_YR 2002"
S1541800,"CV_HH_NET_WORTH_Y 2002"
S1598100,"R6 SAMPLE WEIGHT CC 2002"
S2011500,"CV_INCOME_GROSS_YR 2003"
S2011600,"CV_HH_NET_WORTH_Y 2003"
S2067000,"R7 SAMPLE WEIGHT CC 2003"
S3861600,"R8 SAMPLE WEIGHT CC 2004"
S5444200,"R9 SAMPLE WEIGHT CC 2005"
S7545500,"R10 SAMPLE WEIGHT CC 2006"
T0042100,"R11 SAMPLE WEIGHT CC 2007"
T2022500,"R12 SAMPLE WEIGHT CC 2008"
T3613300,"R13 SAMPLE WEIGHT CC 2009"
T5213200,"R14 SAMPLE WEIGHT CC 2010"
T6665000,"R15 SAMPLE WEIGHT CC 2011"
T8135900,"R16 SAMPLE WEIGHT CC 2013"
U0017100,"R17 SAMPLE WEIGHT CC 2015"
U1855400,"R18 SAMPLE WEIGHT CC 2017"
U3455500,"R19 SAMPLE WEIGHT CC 2019"
U4958700,"R20 SAMPLE WEIGHT CC 2021"
U6365400,"R21 SAMPLE WEIGHT CC 2023"
Z9048900,"CVC_HH_NET_WORTH_20"
Z9049000,"CVC_HH_NET_WORTH_25"
Z9083800,"CVC_HGC_EVER"
Z9141400,"CVC_HH_NET_WORTH_35"
Z9164500,"CVC_HH_NET_WORTH_40"
